detention_facility_code,name,state,start,end,place,type
DALHOLD,Dallas F.O. Hold,TX,0,201,"Dallas, TX",Hold / Staging
DAUPHPA,"Dauphin Cnty Jail, PA",PA,105,106,"Harrisburg, PA",Other / Unknown
DAVIDTN,Davidson Co. Sheriff Dept,TN,0,134,"Nashville, TN",Non-dedicated
DAWSOMT,Dawson County Jail,MT,7,60,"Glendive, MT",Non-dedicated
DIIHBMD,Days Inn Inner Harbor Baltimore,MD,127,129,"Baltimore, MD",Hotel
DEAPDMI,Dearborn Police Dept.,MI,0,187,"Dearborn, MI",Non-dedicated
DEKALGA,Dekalb Co Jail,GA,10,15,"Decatur, GA",Other / Unknown
DEKALAL,Dekalb County Detention Center,AL,0,148,"Fort Payne, AL",Federal
DEKABGA,Dekalb County Jail,GA,141,172,"Decatur, GA",Non-dedicated
DLAMOCA,Del Amo Psychiatric Hospital,CA,38,39,"Torrance, CA",Medical
DLRHOLD,Del Rio DRO Hold Room,TX,57,201,"Del Rio, TX",Hold / Staging
DHDFNJ,Delaney Hall Detention Facility,NJ,34,201,"Newark, NJ",Non-dedicated
DELAWPA,Delaware Co Jail,PA,81,139,"Thornton, PA",Federal
DECCSMY,Delaware Correction Center,DE,99,122,"Smyrna, DE",Other / Unknown
DELTACO,Delta County Jail,CO,1,11,"Delta, CO",Non-dedicated
DENIICO,Denver CDF II,CO,123,158,"Aurora, CO",Dedicated
DENICDF,Denver Contract Det. Fac.,CO,0,201,"Aurora, CO",Dedicated
DENVECO,Denver County Jail,CO,0,200,"Denver, CO",Federal
DNHMCCO,Denver Health Medical Center,CO,67,189,"Denver, CO",Medical
DENHOLD,Denver Hold Room,CO,0,201,"Denver, CO",Hold / Staging
DENCICO,Denver Justice Center,CO,0,13,"Denver, CO",Non-dedicated
DEPCOGU,Department Of Corrections,GU,0,135,"Mangilao, GU",Non-dedicated
DEPYOGU,Department Of Youth Affairs,GU,2,8,"Barrigada, GU",Family / Youth
GUDOCHG,Dept Of Corrections-Hagatna,GU,7,201,"Hagatna, GU",Federal
DSMHOLD,Des Moines Hold Room,IA,28,201,"Des Moines, IA",Hold / Staging
DSRTVCA,Desert Valley Hospital,CA,68,200,"Victorville, CA",Medical
CADESVI,Desert View,CA,43,201,"Adelanto, CA",Dedicated
DVHSPNV,Desert View Hospital,NV,177,199,"Pahrump, NV",Medical
DRHCSTX,Dimmit Regional Hospital,TX,174,175,"Carrizo Springs, TX",Medical
WIDODGE,"Dodge Corr Institute, Wau",WI,31,86,"Waupun, WI",Non-dedicated
DODGEWI,"Dodge County Jail, Juneau",WI,0,201,"Juneau, WI",Federal
DONAANM,Dona Ana County Detention Facility,NM,97,201,"Las Cruces, NM",Non-dedicated
DORCHMD,Dorchester Co Det Cntr,MD,0,168,"Cambridge, MD",Non-dedicated
DORCDSC,Dorchester Co Det Ctr,SC,177,201,"Summerville, SC",Federal
DOUGLOR,Douglas Co. Jail,OR,0,53,"Roseburg, OR",Non-dedicated
DOUGLWI,Douglas Co. Wisconsin,WI,103,201,"Superior, WI",Non-dedicated
DOCORNE,Douglas County Correction,NE,0,160,"Omaha, NE",Non-dedicated
DOUGLCO,Douglas County Detention Center,CO,0,181,"Castle Rock, CO",Non-dedicated
DVDHOLD,Dover Holdroom,DE,3,201,"Dover, DE",Hold / Staging
DRURYCO,Drury Inn,CO,0,144,"Denver, CO",Hotel
DISSATX,Drury Inn & Stes SNA Ap,TX,142,164,"San Antonio, TX",Hotel
DISPTAZ,Drury Inn Stes Pho Tempe,AZ,143,146,"Tempe, AZ",Hotel
DULHOLD,Duluth Hold Room,MN,127,183,"Duluth, MN",Hold / Staging
DUPAGIL,Dupage County Jail,IL,10,23,"Wheaton, IL",Non-dedicated
DURHOLD,Durango Holdroom,CO,25,201,"Durango, CO",Hold / Staging
DUTCHAK,Dutch Harbor City Jail,AK,2,4,"Unalaska, AK",Non-dedicated
DUVALFL,Duval/Jacksonville Jail,FL,0,12,"Jacksonville, FL",Non-dedicated
EAGLECO,Eagle County Jail,CO,17,68,"Eagle, CO",Non-dedicated
EHDLGTX,East Hidalgo Detention Center,TX,29,201,"La Villa, TX",Federal
EMESACA,East Mesa Detent Facility,CA,8,96,"San Diego, CA",Non-dedicated
NYEASTC,Eastern C.F. Napanoch,NY,162,166,"Napanoch, NY",Other / Unknown
WVEASTR,Eastern Regional Jail,WV,3,201,"Martinsburg, WV",Federal
ECOLOWA,Econolodge Motel,WA,1,147,"Tukwila, WA",Hotel
ECTORTX,Ector County Correction Center,TX,0,31,"Odessa, TX",Non-dedicated
ECLECTX,Ector County L.E.C.,TX,125,126,"Odessa, TX",Other / Unknown
EFMHMFL,Ed Fraser Memorial Hospital,FL,173,180,"Macclenny, FL",Medical
EDDCONM,Eddy County Jail,NM,39,162,"Carlsbad, NM",Non-dedicated
EDENDTX,Eden Det Center,TX,5,17,"Eden, TX",Federal
EDNHOLD,Eden Det Ctr Hold Room,TX,133,176,"Eden, TX",Hold / Staging
EDNDCTX,Eden Detention Ctr,TX,130,201,"Eden, TX",Other / Unknown
EDCHOLD,Eden Hold Room,TX,54,87,"Eden, TX",Hold / Staging
EDNBGTX,Edinburg Police Dept.,TX,64,183,"Edinburg, TX",Other / Unknown
ECRMCCA,El Centro Regional Med Ctr,CA,183,201,"El Centro, CA",Medical
ECC,El Centro SPC,CA,0,72,"El Centro, CA",Dedicated
EPBHSTX,El Paso Behavioral Health System,TX,113,201,"El Paso, TX",Medical
EPCDFTX,El Paso County Detention Facility,TX,174,201,"El Paso, TX",Other / Unknown
ELPASCO,El Paso County Jail (CO),CO,0,114,"Colorado Springs, CO",Non-dedicated
ELPCOTX,El Paso County Jail (TX),TX,107,201,"El Paso, TX",Non-dedicated
EPLTATX,El Paso LTAC Hospital,TX,134,201,"El Paso, TX",Medical
EPC,El Paso SPC,TX,0,201,"El Paso, TX",Dedicated
EPCJUVI,El Paso SPC Juvenile,TX,15,179,"El Paso, TX",Hold / Staging
EPSSFTX,El Paso Soft Sided Facility,TX,197,201,"El Paso, TX",Hold / Staging
ELVDFTX,El Valle Detention Facility,TX,117,201,"Raymondville, TX",Non-dedicated
ELBERCO,Elbert County Jail,CO,2,3,"Kiowa, CO",Non-dedicated
ELGPDIL,Elgin Police Dept. Jail,IL,0,108,"Elgin, IL",Non-dedicated
ELZICDF,Elizabeth Contract D.F.,NJ,0,201,"Elizabeth, NJ",Dedicated
ELKHAIN,Elkhart County Jail,IN,122,136,"Elkhart, IN",Other / Unknown
ELMORID,Elmore County Jail,ID,8,201,"Mountain Home, ID",Federal
EAZ,Eloy Federal Contract Fac,AZ,0,201,"Eloy, AZ",Dedicated
BOEHOLD,Elp Boeing Dr Holdroom,TX,0,126,"El Paso, TX",Hold / Staging
ESHSATX,Embassy Ste Hltn NW I-10,TX,156,157,"San Antonio, TX",Hotel
EMBSATX,Embassy Ste Hltn SNA Ap,TX,150,151,"San Antonio, TX",Hotel
EMBCRNC,Embassy Suites By Hilton,NC,120,180,"Cary, NC",Hotel
EMBSYCO,Embassy Suites Hotel,CO,46,48,"Denver, CO",Hotel
ENLMCCA,Enloe Medical Center,CA,173,200,"Chico, CA",Medical
EIRHONY,Erie Co Holding Center,NY,29,30,"Buffalo, NY",Hold / Staging
ERICONY,Erie County Holding Center,NY,0,6,"Buffalo, NY",Hold / Staging
ERICOPA,"Erie County Jail, PA",PA,0,201,"Erie, PA",Federal
ECMCBNY,Erie County Medical Center,NY,57,201,"Buffalo, NY",Medical
ESSEXMA,"Essex Co. Jail, Middleton",MA,0,29,"Middleton, MA",Non-dedicated
ESSEXNJ,Essex County Jail,NJ,0,200,"Newark, NJ",Non-dedicated
ESSEXNY,Essex County Jail,NY,1,32,"Lewis, NY",Non-dedicated
ETOWAAL,Etowah County Jail (AL),AL,0,201,"Gadsden, AL",Federal
ETWHOLD,Etowah ERO Hold Room,AL,32,193,"Gadsden, AL",Hold / Staging
EUGHOLD,Eugene Holdroom,OR,14,201,"Eugene, OR",Hold / Staging
EULESTX,Euless City Jail,TX,0,160,"Euless, TX",Non-dedicated
EXTSAAZ,Extended Stay America,AZ,160,161,AZ,Hotel
ESAPAAZ,Extended Stay America Pho Ap,AZ,149,150,"Phoenix, AZ",Hotel
BOPBER,FCI Berlin,NH,197,201,"Berlin, NH",Federal
BOPGIL,FCI Gilmer,WV,103,104,"Glenville, WV",Federal
BOPVIM,FCI Victorville,CA,32,195,"Victorville, CA",Federal
BOPPHL,FDC Philadelphia,PA,196,201,"Philadelphia, PA",Federal
FCLT8CA,Facility 8 Detention Facility,CA,85,197,"San Diego, CA",Other / Unknown
AKFAIRB,Fairbanks Corr Ctr,AK,0,181,"Fairbanks, AK",Non-dedicated
FAICOVA,Fairfax Co Jail,VA,6,89,"Fairfax, VA",Federal
FXADCVA,Fairfax Co. Adult Detention Center,VA,97,116,"Fairfax, VA",Non-dedicated
FRFLDWY,Fairfield Inn & Suites,WY,116,134,"Cheyenne, WY",Hotel
BOPFAI,Fairton FCI,NJ,109,130,"Fairton, NJ",Federal
FAULKSD,Faulk County Jail,SD,31,32,"Faulkton, SD",Non-dedicated
FAULKAR,Faulkner County Jail,AR,0,4,"Conway, AR",Non-dedicated
FAYETKY,Fayette County Detention Center,KY,76,201,"Lexington, KY",Federal
FAYHOLD,Fayetteville Hold Room,AR,15,201,"Fayetteville, AR",Hold / Staging
FDLHOLD,Ferndale Hold Room,WA,169,201,"Ferndale, WA",Hold / Staging
FERRYWA,Ferry County Jail,WA,11,16,"Republic, WA",Non-dedicated
FINNEKS,Finney County Jail,KS,141,201,"Garden City, KS",Non-dedicated
NYFISHC,Fishkill C.F. Beacon Ny,NY,124,181,"Beacon, NY",Other / Unknown
FLGLRFL,Flagler County Jail,FL,184,197,"Bunnel, FL",Other / Unknown
FLATHMT,Flathead County Jail,MT,0,161,"Kalispell, MT",Non-dedicated
FLORHAZ,Florence Hospital,AZ,170,201,"Florence, AZ",Medical
FLO,Florence SPC,AZ,0,201,"Florence, AZ",Dedicated
FSF,Florence Staging Facility,AZ,0,201,"Florence, AZ",Hold / Staging
FLSPSTA,"Florida St. Pris.,Starke",FL,100,101,"Raiford, FL",Other / Unknown
FLOYDGA,Floyd County Jail,GA,127,201,"Rome, GA",Federal
FIPCMGA,Folkston Main IPC,GA,119,201,"Folkston, GA",Dedicated
FNDDUWI,Fond Du Lac County Sheriff/Jail,WI,153,188,"Fond Du Lac, WI",Other / Unknown
FORSYNC,Forsyth County Jail,NC,0,188,"Winston-Salem, NC",Federal
FLHOSFL,Fort Lauderdale Hospital,FL,109,197,"Fort Lauderdale, FL",Medical
FMYHOLD,Fort Myers ERO Holdroom,FL,90,201,"Fort Myers, FL",Hold / Staging
FSAHOLD,Fort Smith Holdroom,AR,29,201,"Fort Smith, AR",Hold / Staging
FPSSAWA,Four Pts Sheraton Sea Ap,WA,155,178,"Des Moines, WA",Hotel
FRANKWA,Franklin County,WA,2,3,"Pasco, WA",Non-dedicated
FRANKPA,Franklin County Jail,PA,199,200,"Chambersburg, PA",Other / Unknown
FRACOVT,"Franklin County Jail, VT",VT,0,121,"Saint Albans, VT",Non-dedicated
GREENMA,Franklin House of Corrections,MA,0,151,"Greenfield, MA",Federal
FREDEMD,Frederick County Det. Cen,MD,0,194,"Frederick, MD",Non-dedicated
FCOHOLD,Frederick Holdroom,CO,86,87,"Frederick, CO",Hold / Staging
FRDHOLD,Frederick Holdroom,CO,86,201,"Frederick, CO",Hold / Staging
FREEBMN,"Freeborn County Jail, MN",MN,3,201,"Albert Lea, MN",Non-dedicated
FREESTX,Freestone County Jail,TX,170,171,"Fairfield, TX",Non-dedicated
FREMOCO,"Fremont County Jail, CO",CO,0,67,"Canon City, CO",Non-dedicated
FREMOWY,"Fremont County Jail, WY",WY,5,6,"Lander, WY",Non-dedicated
FRECOCA,Fresno County Jail,CA,87,88,"Fresno, CA",Non-dedicated
FREHOLD,Fresno Holdroom,CA,0,201,"Fresno, CA",Hold / Staging
FRIOCTX,Frio County Jail,TX,133,134,"Pearsall, TX",Non-dedicated
FRIRHTX,Frio Regional Hospital,TX,168,200,"Pearsall, TX",Medical
FLBHCFL,Ft Lauderdale Behavor Hlth Ctr,FL,128,201,"Oakland Park, FL",Medical
GALLAMT,Gallatin County Jail,MT,1,185,"Bozeman, MT",Non-dedicated
GCPFCKS,Garden City Processing @ Finney Co,KS,177,199,"Garden City, KS",Other / Unknown
GARVIOK,Garvin County Jail,OK,0,200,"Pauls Valley, OK",Non-dedicated
GASTNNC,Gaston County Jail,NC,0,200,"Gastonia, NC",Non-dedicated
GEAUGOH,Geauga County Jail,OH,34,201,"Chardon, OH",Federal
GSMCDPA,Geisinger Medical Center,PA,184,186,"Danville, PA",Medical
GENESNY,Genesee County Jail,NY,0,43,"Batavia, NY",Federal
BAILECA,George Bailey Detent Faci,CA,35,102,"San Diego, CA",Non-dedicated
IAHSFTX,George Bush Intercontinental,TX,70,156,"Houston, TX",Hold / Staging
GRGBVTX,Georgetown Behavioral Hospital,TX,193,200,"Georgetown, TX",Medical
GIJUVAZ,Gila County Juvenile Det Center,AZ,0,9,"Globe, AZ",Family / Youth
GLADEFL,Glades County Detention Center,FL,0,201,"Moore Haven, FL",Non-dedicated
GLEPDCA,Glendale Police Dept,CA,0,201,"Glendale, CA",Non-dedicated
GSCHOLD,Glenwood Springs Holdroom,CO,24,200,"Glenwood Springs, CO",Hold / Staging
GLOUCNJ,Gloucester County Jail,NJ,20,21,"Woodbury, NJ",Non-dedicated
GLDSACA,Golden State Annex,CA,143,201,"Mcfarland, CA",Dedicated
GSAMHCA,Good Samaritan Hospital,CA,173,174,"San Jose, CA",Medical
GOODCID,Gooding County Jail,ID,164,185,"Gooding, ID",Other / Unknown
AKGSCCC,Goose Creek Correctional Center,AK,146,183,"Wasilla, AK",Other / Unknown
GOSHEWY,Goshen County Jail,WY,1,2,"Torrington, WY",Non-dedicated
GCLECOK,Grady County Law Enforcement Ctr,OK,116,170,"Chickasha, OK",Other / Unknown
GMHATGA,Grady Memorial Hospital,GA,173,201,"Atlanta, GA",Medical
GRAHAAZ,Graham Co Jail Safford AZ,AZ,162,163,"Safford, AZ",Other / Unknown
GFJUVND,Grand Forks Co. Juvenile,ND,1,135,"Grand Forks, ND",Family / Youth
GFCORND,Grand Forks County Correc,ND,0,201,"Grand Forks, ND",Non-dedicated
GRFHOLD,Grand Forks Hold Room,ND,16,201,"Grand Forks, ND",Hold / Staging
GRIHOLD,Grand Island Hold Room,NE,27,158,"Grand Island, NE",Hold / Staging
GJCHOLD,Grand Junction Holdroom,CO,24,201,"Grand Junction, CO",Hold / Staging
GRMHOLD,Grand Rapids Holdroom,MI,65,197,"Grand Rapids, MI",Hold / Staging
GRANTWA,Grant County,WA,0,10,"Ephrata, WA",Non-dedicated
GRANTOR,Grant County Jail,OR,4,31,"Canyon City, OR",Non-dedicated
GRYDCKY,Grayson County Det Center (Female),KY,31,53,"Leitchfield, KY",Federal
GRAYSKY,Grayson County Detention Center,KY,0,201,"Leitchfield, KY",Federal
NYGREAC,Great Meadow C.F.,NY,167,181,"Comstock, NY",Other / Unknown
GPCHOLD,Great Plains CI Holdroom,OK,89,142,"Hinton, OK",Hold / Staging
GREENMO,Greene County Jail,MO,1,201,"Springfield, MO",Non-dedicated
GRRHOLD,Greer Hold Room,SC,72,201,"Greer, SC",Hold / Staging
NYGROVC,Groveland C.F. Sonyea,NY,158,189,"Sonyea, NY",Other / Unknown
GUADATX,Guadalupe Cty Jail,TX,1,89,"Seguin, TX",Non-dedicated
GUAMHGU,Guam Memorial Hospital,GU,199,200,"Tamuning, GU",Medical
BOPGUA,Guaynabo MDC (San Juan),PR,0,197,"San Juan, PR",Federal
GWINNGA,Gwinnett County Jail,GA,0,51,"Lawrenceville, GA",Non-dedicated
HCAFMFL,HCA Florida Memorial Hospital,FL,173,197,"Jacksonville, FL",Medical
HCAHCTX,HCA Houston Hc Conroe,TX,170,201,"Conroe, TX",Medical
HACMCNJ,Hackensack Med Ctr,NJ,172,173,"Hackensack, NJ",Medical
HAILEID,Haile Det. Center,ID,0,199,"Caldwell, ID",Non-dedicated
HALLJGA,Hall Co Jail,GA,0,181,"Gainesville, GA",Federal
HASHENE,Hall County Sheriff,NE,2,183,"Grand Island, NE",Non-dedicated
HAMILTX,Hamilton County Jail (TX),TX,170,171,"Hamilton, TX",Other / Unknown
HAMPDMA,Hampden Co.House Of Corr.,MA,94,110,"Ludlow, MA",Non-dedicated
HISAXLA,Hampton Inn & Stes Alexandria,LA,152,153,"Alexandria, LA",Hotel
HISEPTX,Hampton Inn & Stes Elp Ap,TX,137,142,"El Paso, TX",Hotel
HISMCTX,Hampton Inn & Stes Mcallen,TX,138,179,"Mcallen, TX",Hotel
HAMPITX,Hampton Inn Pearsall,TX,150,151,"Pearsall, TX",Family / Youth
HIPANAZ,Hampton Inn Pho Airport N,AZ,138,151,"Phoenix, AZ",Hotel
HRREGVA,Hampton Roads Regional Jail,VA,0,66,"Portsmouth, VA",Federal
HCPSCMS,Hancock Co Pub Sfty Cplx,MS,139,201,"Bay St. Louis, MS",Non-dedicated
HAVMCWA,Harborview Medical Center,WA,186,187,"Seattle, WA",Medical
HARDEFL,Hardee County Jail,FL,101,127,"Wauchula, FL",Other / Unknown
HARDJIA,Hardin Co Jail,IA,0,201,"Eldora, IA",Non-dedicated
HLGHOLD,Harlingen Hold Room,TX,14,201,"Harlingen, TX",Hold / Staging
HMCHOTX,Harlingen Medical Center,TX,0,191,"Harlingen, TX",Medical
HRLGNTX,Harlingen Police Dept.,TX,64,196,"Harlingen, TX",Other / Unknown
HSF,Harlingen Staging Facility,TX,0,55,"Harlingen, TX",Hold / Staging
HARRIGA,Harris County Jail,GA,48,49,"Hamilton, GA",Non-dedicated
HCPSYTX,Harris County Psychiatric Center,TX,96,201,"Houston, TX",Medical
HHBTHTX,Harris Health Ben Taub Hospital,TX,180,200,"Houston, TX",Medical
LBJHSTX,Harris Health LBJ Hospital,TX,192,200,"Houson, TX",Medical
HBGHOLD,Harrisonburg Hold Room,VA,32,201,"Harrisonburg, VA",Hold / Staging
HARFOCT,Hartford Corr Center,CT,32,201,"Hartford, CT",Non-dedicated
HARHOLD,Hartford Office,CT,0,201,"Hartford, CT",Hold / Staging
HASMHTX,Haskell Memorial Hospital,TX,142,145,"Haskell, TX",Medical
HSELPTX,Hawthorn Stes El Paso Airp,TX,150,151,"El Paso, TX",Hotel
HACTCND,Heart Of America Corr,ND,166,167,"Rugby, ND",Other / Unknown
HELHOLD,Hel District Custody,MT,3,201,"Helena, MT",Hold / Staging
HENDENC,Henderson County Det. Fac.,NC,0,201,"Hendersonville, NC",Non-dedicated
HENDETX,Henderson County Jail,TX,131,162,"Athens, TX",Non-dedicated
HENDENV,Henderson Detention,NV,28,201,"Henderson, NV",Federal
HDHSPNV,Henderson Hospital,NV,176,200,"Henderson, NV",Medical
HENHOLD,Hendersonville Hold Room,NC,75,201,"Hendersonville, NC",Hold / Staging
HNDMCTX,Hendrick Medical Center,TX,145,201,"Abilene, TX",Medical
HENDRFL,Hendry County Jail,FL,122,200,"Labelle, FL",Non-dedicated
HNYHOMI,Henry Ford Hospital,MI,189,190,"Detroit, MI",Medical
HNRMCFL,Henry Regional Medical Center,FL,111,161,"Clewiston, FL",Medical
HERNAFL,Hernando County Jail,FL,0,13,"Brooksville, FL",Non-dedicated
HIDALNM,Hidalgo County Detention Center,NM,78,128,"Lordsburg, NM",Non-dedicated
HIDALTX,Hidalgo County Jail,TX,26,195,"Edinburg, TX",Non-dedicated
HDLGOTX,Hidalgo Police Dept.,TX,67,160,"Hidalgo, TX",Other / Unknown
AKHIGHL,Highland Mtn Cor Ctr,AK,0,201,"Eagle River, AK",Federal
HGHBECO,Highlands Behavioral Health,CO,195,197,"Littleton, CO",Medical
HILLCMT,Hill County Justice Center,MT,0,124,"Havre, MT",Federal
HICOJFL,Hillsborough County Jail,FL,3,5,"Tampa, FL",Non-dedicated
HOKLYTX,Hockley County Jail,TX,31,32,"Levelland, TX",Non-dedicated
HISPAAZ,Holiday Inn & Ste Pho Ap,AZ,142,159,"Phoenix, AZ",Hotel
HIESPAZ,Holiday Inn Exp Phoenix,AZ,142,159,"Phoenix, AZ",Hotel
HOLIETX,Holiday Inn Exp SNA Ap,TX,144,175,"San Antonio, TX",Hotel
HIESATX,Holiday Inn Exp San Antonio,TX,142,152,"San Antonio, TX",Hotel
HIEXSTX,Holiday Inn Expr & Stes Pearsall,TX,149,154,"Pearsall, TX",Hotel
HIRAYTX,Holiday Inn Express & Suites,TX,156,158,TX,Hotel
HIELPTX,Holiday Inn Express & Suites,TX,149,153,"El Paso, TX",Hotel
HESPCAZ,Holiday Inn Express Casa De La Luz,AZ,150,159,"Phoenix, AZ",Family / Youth
HIPDBAZ,Holiday Inn Pho Dwtn Ballpark,AZ,144,156,"Phoenix, AZ",Hotel
HISDBCA,Holiday Inn SND Bayside,CA,149,151,"San Diego, CA",Hotel
HLYCHIL,Holy Cross Hospital,IL,90,100,"Chicago, IL",Medical
BOPHON,Honolulu Federal Detention Center,HI,0,201,"Honolulu, HI",Federal
HPKNSKY,Hopkins County Jail,KY,197,201,"Madisonville, KY",Federal
HOSPSPR,Hospital Pavia-Santurce,PR,80,111,"San Juan, PR",Medical
HAVACTX,Hotel Ava Casa Do Tranquilidade,TX,156,162,"Laredo, TX",Family / Youth
HTLPPTX,Hotel Pharr Plaza,TX,142,159,"Pharr, TX",Hotel
HOUICDF,Houston Contract Det.Fac.,TX,0,201,"Houston, TX",Dedicated
HOUHOLD,Houston FO Holdroom,TX,0,201,"Houston, TX",Hold / Staging
HHCHKTX,Houston Healthcare Hosp,TX,171,201,"Houston, TX",Medical
HOWARMD,Howard County Det Cntr,MD,0,152,"Jessup, MD",Non-dedicated
HUDSONJ,Hudson County Jail,NJ,0,190,"Kearny, NJ",Non-dedicated
HUDSPTX,Hudspeth County Jail,TX,111,167,"Sierra Blanca, TX",Non-dedicated
TXHUNTS,Huntsville State P.,TX,12,13,"Huntsville, TX",Non-dedicated
POLKCTX,IAH Secure Adult Det. Facility,TX,0,201,"Livingston, TX",Non-dedicated
FRMVLVA,ICA - Farmville,VA,22,201,"Farmville, VA",Dedicated
HHWHOLD,INS District Office,HI,64,199,"Honolulu, HI",Hold / Staging
IFIHOLD,Idaho Falls Hold Room,ID,105,201,"Idaho Falls, ID",Hold / Staging
IMPCOCA,Imperial County Jail,CA,25,179,"El Centro, CA",Non-dedicated
IRADFCA,Imperial Regional Adult Det Fac,CA,71,201,"Calexico, CA",Dedicated
IMPHOLD,Imperial Sub Office Hold Room,CA,150,201,"Calexico, CA",Hold / Staging
INDCMIC,In Dept. Of Corrections,IN,60,61,"Indianapolis, IN",Other / Unknown
INPHOLD,Indianapolis Hold Room,IN,18,201,"Indianapolis, IN",Hold / Staging
INDMPIN,Indianapolis Metropolitan PD,IN,150,151,"Indianapolis, IN",Other / Unknown
INTPOOK,Integris Health Ponca City Hospita,OK,184,185,"Ponca City, OK",Medical
CAIRONW,Ironwood State Prison,CA,94,95,"Blythe, CA",Other / Unknown
IRWINGA,Irwin County Detention Center,GA,23,156,"Ocilla, GA",Non-dedicated
JFKTSNY,JFK International Ap - T7,NY,118,201,"Jamaica, NY",Other / Unknown
GTMOACU,JTF Camp Six,CU,196,201,"FPO, CU",Federal
JHRWLTX,Jack Harwell Detention Center,TX,30,200,"Waco, TX",Federal
JACKSOR,Jackson Co Jail,OR,0,143,"Medford, OR",Federal
JAJUVOR,Jackson County Juvenile,OR,20,38,"Medford, OR",Family / Youth
JACKSTN,Jackson County Sheriff,TN,180,181,"Gainesboro, TN",Other / Unknown
JAKHOLD,Jackson MS Hold Room,MS,106,201,"Pearl, MS",Hold / Staging
JMHOSFL,Jackson Memorial Hospital,FL,0,200,"Miami, FL",Medical
JKPCCLA,Jackson Parish Correctional Center,LA,125,201,"Jonesboro, LA",Dedicated
JAXHOLD,Jacksonville Sub-Office,FL,0,201,"Jacksonville, FL",Hold / Staging
JHMCJNY,Jamaica Hospital Med Ctr,NY,127,198,"Richmond Hill, NY",Medical
MUSIKCA,James A Musick Facility,CA,22,129,"Irvine, CA",Non-dedicated
JEFFEIL,Jefferson County Jail,IL,6,194,"Mount Vernon, IL",Non-dedicated
JEFFECO,Jefferson County Jail,CO,0,19,"Golden, CO",Non-dedicated
JEFFENY,Jefferson County Jail,NY,1,52,"Watertown, NY",Non-dedicated
JEFFEKS,Jefferson County Jail,KS,1,2,"Oskaloosa, KS",Federal
JEFFEMT,Jefferson County Jail,MT,0,62,"Boulder, MT",Federal
JEFFETX,Jefferson County Jail,TX,0,60,"Beaumont, TX",Non-dedicated
JEFFEID,Jefferson County Jail,ID,1,201,"Rigby, ID",Non-dedicated
JENNIMO,Jennings City Jail,MO,1,26,"Jennings, MO",Federal
JYCMCNJ,Jersey City Med Ctr,NJ,137,139,"Jersey City, NJ",Medical
JCRLYTX,Joe Corley Processing Ctr,TX,115,201,"Conroe, TX",Non-dedicated
JOHNSTX,Johnson County Jail,TX,4,150,"Cleburne, TX",Non-dedicated
JOSEPOR,Josephine Co. Jail,OR,0,116,"Grants Pass, OR",Federal
KANDIMN,Kandiyohi Co. Jail,MN,108,201,"Willmar, MN",Non-dedicated
KANECIL,Kane County Jail,IL,68,118,"St Charles, IL",Other / Unknown
KANKEIL,Kankakee County Jail,IL,96,167,"Kankakee, IL",Federal
KANHOLD,Kansas City Holdroom,MO,24,201,"Kansas City, MO",Hold / Staging
KCCDCTX,Karnes County Civil Det. Facility,TX,39,201,"Karnes City, TX",Family / Youth
KRNRCTX,Karnes County Residential Center,TX,67,201,"Karnes City, TX",Family / Youth
KARNETX,Karnes Cty Corr Ctr,TX,0,201,"Karnes City, TX",Federal
KCOJFOK,Kay Co Justice Facility,OK,128,201,"Newkirk, OK",Non-dedicated
KENMHNY,Kenmore Mercy Hospital,NY,199,200,"Kenmore, NY",Medical
KENOSWI,Kenosha County Jail,WI,0,150,"Kenosha, WI",Federal
KENTCMI,"Kent Co.,Grand Rapids,MI",MI,49,159,"Grand Rapids, MI",Non-dedicated
KENTHRI,Kent Hospital,RI,188,189,"Warwick, RI",Medical
KENTOKY,Kenton Co Detention Ctr,KY,199,201,"Covington, KY",Non-dedicated
KERCOCA,Kern County Jail (Lerdo),CA,0,200,"Bakersfield, CA",Non-dedicated
KERNHCA,Kern Medical Hospital,CA,179,197,"Bakersfield, CA",Medical
AKKETCH,Ketchikan Regional CC,AK,17,200,"Ketchikan, AK",Non-dedicated
KCHOSNY,Kings County Hospital,NY,30,119,"Brooklyn, NY",Medical
KINNETX,Kinney County Jail,TX,14,201,"Brackettville, TX",Non-dedicated
KITTIWA,Kittitas County Jail,WA,1,147,"Ellensburg, WA",Non-dedicated
KLAMCOR,Klamath Co Jail,OR,0,61,"Klamath Falls, OR",Non-dedicated
KNXDFTN,Knox County Detention Facility,TN,118,201,"Knoxville, TN",Federal
KNXCHTX,Knox County Hospital,TX,183,191,"Knox City, TX",Medical
KNXHOLD,Knoxville Hold Room,TN,32,201,"Knoxville, TN",Hold / Staging
KODIAAK,Kodiak City Jail,AK,2,201,"Kodiak, AK",Non-dedicated
KOOTEID,Kootenai County,ID,7,12,"Coeur D'Alene, ID",Non-dedicated
KROHOLD,Krome Hold Room,FL,94,201,"Miami, FL",Hold / Staging
KRO,Krome North SPC,FL,0,201,"Miami, FL",Dedicated
KRHUBFL,Krome/Miami Hub,FL,0,201,"Miami, FL",Hold / Staging
LCIMCTX,La Copa Inn Hotel,TX,156,157,"South Padre Island, TX",Family / Youth
LAFERTX,La Feria Police Dept.,TX,81,127,"La Feria, TX",Other / Unknown
