detention_facility_code,name,state,type,start,end,place
THHMHTX,TX Hlth Harris Meth Hosp,TX,Medical,192,204,"Fort Worth, TX"
TACGHWA,Tacoma General Hospital,WA,Medical,193,198,"Tacoma, WA"
TALHOLD,Tallahassee Hold Room,FL,Hold / Staging,88,210,"Tallahassee, FL"
TALLAMS,Tallahatchie Co Corr Facility,MS,Federal,117,209,"Tutwiler, MS"
TAMHOLD,Tampa Hold Room,FL,Hold / Staging,30,210,"Tampa, FL"
MATSHOS,Taunton State Hospital,MA,Medical,0,130,"Taunton, MA"
TAYLOTX,Taylor County Adult Det.,TX,Non-dedicated,39,200,"Abilene, TX"
TELLECO,Teller County Jail,CO,Non-dedicated,0,200,"Divide, CO"
TEMPLCA,Temple Medical,CA,Medical,18,126,"Los Angeles, CA"
TENSALA,Tensas Parish Det. Cntr.,LA,Non-dedicated,0,126,"Waterproof, LA"
BOPTHA,Terre Haute USP,IN,Federal,0,107,"Terre Haute, IN"
TETONWY,Teton County Detention Center,WY,Federal,0,150,"Jackson, WY"
MATEWKS,Tewksbury State Hospital,MA,Medical,3,115,"Tewksbury, MA"
THHHBTX,Tex Health Huguley Hosp,TX,Medical,142,204,"Burleson, TX"
TXAHOLD,Texarkana Holdroom,AR,Hold / Staging,40,210,"Texarkana, AR"
TVMSATX,Texas Vista Medical Center,TX,Medical,167,200,"San Antonio, TX"
TLACYCA,Theo Lacy Facility,CA,Non-dedicated,22,130,"Orange, CA"
BOPTRV,Three Rivers FCI,TX,Federal,41,138,"Three Rivers, TX"
TIOGANY,Tioga County Jail,NY,Non-dedicated,6,67,"Owego, NY"
TITUSTX,Titus County Jail,TX,Federal,105,210,"Mt. Pleasant, TX"
TGREETX,Tom Green Cty Jail,TX,Federal,0,210,"San Angelo, TX"
TOOELUT,Tooele County Jail,UT,Federal,86,210,"Tooele, UT"
TOOLEMT,Toole County Jail,MT,Non-dedicated,0,187,"Shelby, MT"
TORHOLD,Tornillo Adult Hold Room,TX,Hold / Staging,121,135,"Tornillo, TX"
TOORANM,"Torrance/Estancia, NM",NM,Non-dedicated,0,210,"Estancia, NM"
TRVLIAZ,Traveler's Inn - Phoenix,AZ,Hotel,144,145,"Phoenix, AZ"
TRAVITX,Travis County Jail,TX,Non-dedicated,21,125,"Austin, TX"
TRICOIL,Tri-County Jail,IL,Non-dedicated,0,90,"Ullin, IL"
TRRMCNJ,Trinitas Regional Med Ctr,NJ,Medical,175,204,"Elizabeth, NJ"
TAKARTX,Trusted Adult Karnes FSC,TX,Other / Unknown,163,171,"San Antonio, TX"
TASTDTX,Trusted Adult South Tex Dilley FSC,TX,Other / Unknown,163,172,"Dilley, TX"
BOPTCN,Tucson Fed.Corr.Inst.,AZ,Federal,85,198,"Tucson, AZ"
TUCHOLD,Tucson INS Hold Room,AZ,Hold / Staging,0,210,"Tucson, AZ"
TULCOOK,Tulsa County Jail,OK,Non-dedicated,0,210,"Tulsa, OK"
TULHOLD,Tulsa Hold Room,OK,Hold / Staging,121,210,"Tulsa, OK"
TGKJLFL,Turner Guiford Knight (TGK) Jail,FL,Other / Unknown,199,210,"Miami, FL"
TFALLID,Twin Falls County Jail,ID,Non-dedicated,0,188,"Twin Falls, ID"
TFIHOLD,Twin Falls Hold Room,ID,Hold / Staging,75,209,"Twin Falls, ID"
TBRJLME,Two Bridges Regional Jail,ME,Federal,196,208,"Wiscasset, ME"
DETHOLD,"U.S. Immigration, Detroit",MI,Hold / Staging,0,210,"Detroit, MI"
UCSDMCA,UC San Diego Medical Center,CA,Medical,183,187,"San Diego, CA"
UMASSMA,UMass Memorial Medical Center,MA,Medical,197,199,"Worcester, MA"
UPMCAPA,UPMC Altoona,PA,Other / Unknown,177,192,"Altoona, PA"
UPMCPPA,UPMC Presbyterian Hospital,PA,Medical,200,203,"Pittsburgh, PA"
SPMHOLD,US INS/Detention & Deportation,MN,Hold / Staging,0,210,"Bloomington, MN"
USMVT,"US Marshal's, Vermont",VT,Federal,16,83,VT
USMS2TX,US Marshals  SDTX,TX,Other / Unknown,65,129,"Houston, TX"
USMS3TX,US Marshals  SDTX,TX,Federal,75,106,"Mcallen, TX"
USMSDMS,"US Marshals, S.Dist, MS",MS,Federal,75,98,"Jackson, MS"
USMWDLA,"US Marshals, W.D. LA.",LA,Federal,81,191,"Shreveport, LA"
USMSDFL,"US Marshals,S.Dist.FL",FL,Federal,17,21,"Miami, FL"
BOPTCP,US Penitentiary Tucson,AZ,Federal,33,123,"Tucson, AZ"
BOPCAA,USP Canaan,PA,Federal,11,208,"Waymart, PA"
UVACVVA,UVA Univ Hospital Center,VA,Medical,201,202,"Charlottesville, VA"
UCHUHCO,Uchealth Unv Hosp Of Co,CO,Medical,171,204,"Aurora, CO"
UCCHIIL,Uchicago Medicine Hospital Chicago,IL,Medical,200,201,"Chicago, IL"
UCHRVIL,Uchicago Medicine Ingalls Memorial,IL,Medical,200,202,"Harvey, IL"
UHSHONY,Uhs Wilson Medical Center,NY,Medical,203,204,"Johnson City, NY"
UINTAWY,Uinta County Jail,WY,Federal,8,210,"Evanston, WY"
UINTCUT,Uintah County Jail,UT,Non-dedicated,34,96,"Vernal, UT"
NYULSTC,"Ulster CF, Napanoch",NY,Other / Unknown,103,104,"Napanoch, NY"
UMATCOR,Umatilla Co Jail,OR,Non-dedicated,1,95,"Pendleton, OR"
UNIONNM,Union County Detention Center,NM,Non-dedicated,9,13,"Clayton, NM"
UNIONSD,Union County Jail,SD,Federal,33,207,"Elk Point, SD"
UHOSPIN,Union Hospital,IN,Medical,185,200,"Terre Haute, IN"
UMEMCNY,United Memorial Med Ctr,NY,Medical,184,204,"Batavia, NY"
UNIHONY,Unity Hospital,NY,Medical,202,203,"Rochester, NY"
UPSLHIA,Unity Point Hlth St Lukes Hosp,IA,Medical,185,204,"Cedar Rapids, IA"
UPSLSIA,Unitypoint Hlth St Lukes Hosp SXC,IA,Medical,200,201,"Sioux City, IA"
UHGMCOH,Univ Hosp Geauga Med Ctr,OH,Medical,171,204,"Chardon, OH"
UNMEDMD,Univ of Maryland Medical Center,MD,Medical,196,204,"Baltimore, MD"
UNIVHNJ,University Hospital,NJ,Medical,178,204,"Newark, NJ"
UVHSATX,University Hospital,TX,Medical,166,204,"San Antonio, TX"
UMCEPTX,University Med Center of El Paso,TX,Medical,133,204,"El Paso, TX"
UMCLVNV,University Medical Center,NV,Medical,201,203,"Las Vegas, NV"
UMIAHFL,University Of Miami Hospital,FL,Medical,95,199,"Miami, FL"
UNMHANM,University of New Mexico Hospital,NM,Medical,188,199,"Albuquerque, NM"
UCSDHCA,Unv California San Diego Hospital,CA,Medical,165,203,"San Diego, CA"
UPSTANY,Upstate University Hospital,NY,Medical,33,34,"Syracuse, NY"
URSLATX,Ursula Centralized Processing Cntr,TX,Federal,200,210,"Mcallen, TX"
UTAHCUT,Utah County Jail,UT,Non-dedicated,0,207,"Spanish Fork, UT"
UVALDTX,Uvalde County Jail,TX,Other / Unknown,110,210,"Uvalde, TX"
VCUHOVA,VCU Health Tappahannock Hospital,VA,Medical,199,200,"Tappahannock, VA"
VTDCORR,VT. Dept. Of Corrections,VT,Non-dedicated,0,205,"Waterbury, VT"
VALJUTX,Val Verde County Juvenile,TX,Family / Youth,14,29,"Del Rio, TX"
VALVETX,Val Verde Detention Center,TX,Federal,13,210,"Del Rio, TX"
VBHOSTX,Valley Baptist Hospital,TX,Medical,0,204,"Harlingen, TX"
VWHMCAZ,Valleywise Health Med Ctr,AZ,Medical,173,204,"Phoenix, AZ"
VNBRNMI,Van Buren Township PD,MI,Non-dedicated,0,17,"Belleville, MI"
VRK,Varick Street SPC,NY,Hold / Staging,0,210,"New York, NY"
PRVEGAL,Vega Alta Det. Facility,PR,Non-dedicated,24,69,"Vega Alta, PR"
VENTUCA,Ventura County Jail,CA,Federal,5,205,"Ventura, CA"
VENHOLD,Ventura Custody Case,CA,Hold / Staging,0,210,"Camarrillo, CA"
VVGMCCA,Victor Valley Global Med Center,CA,Medical,68,204,"Victorville, CA"
VICTOTX,Victoria County Jail,TX,Non-dedicated,158,204,"Victoria, TX"
VIRBEVA,Virginia Beach,VA,Non-dedicated,0,205,"Virginia Beach, VA"
VPREGVA,Virginia Peninsula Reg. Jail,VA,Federal,6,202,"Williamsburg, VA"
VISTACA,Vista Detention Facility,CA,Non-dedicated,8,119,"Vista, CA"
WVREGWV,WV Regional Jail & Corr.,WV,Non-dedicated,0,109,"Charleston, WV"
UBRKHWV,WVU Medicine Berkeley Medical Cntr,WV,Medical,203,204,"Martinsburg, WV"
WCCSDCA,Wackenhut Corrections Corp,CA,Non-dedicated,44,132,"San Diego, CA"
WCTHOLD,Waco DRO Hold Room,TX,Hold / Staging,20,210,"Waco, TX"
WAKECNC,Wake County Sheriff Dept.,NC,Non-dedicated,0,123,"Raleigh, NC"
WAKULFL,Wakulla County Jail,FL,Non-dedicated,0,205,"Crawfordville, FL"
WALSHND,Walsh County Jail,ND,Non-dedicated,38,71,"Grafton, ND"
MIWPRPH,Walter Reuther Psychiatric Center,MI,Medical,61,65,"Westland, MI"
WALTNFL,Walton County D.O.C.,FL,Other / Unknown,200,201,"Defuniak Springs, FL"
WLTSOFL,Walton County Jail,FL,Federal,197,210,"Defuniak Springs, FL"
WALWOWI,Walworth County Jail,WI,Non-dedicated,45,47,"Elkhorn, WI"
WARDCND,Ward County Jail,ND,Federal,44,210,"Minot, ND"
WARCOTX,"Ward Cty Jail, Monahans",TX,Federal,65,87,"Monahans, TX"
WASATUT,Wasatch County Jail,UT,Non-dedicated,70,71,"Heber, UT"
WASHAWY,Washakie County Jail,WY,Non-dedicated,6,7,"Worland, WY"
WASHIMD,Washington Co. Detention,MD,Non-dedicated,201,206,"Hagerstown, MD"
NYWASHC,Washington Correctional,NY,Non-dedicated,200,201,"Comstock, NY"
WASHIME,Washington County Jail,ME,Non-dedicated,0,30,"Machias, ME"
WASHICO,Washington County Jail,CO,Federal,0,126,"Akron, CO"
WASHIAR,Washington County Jail,AR,Federal,0,210,"Fayetteville, AR"
WAJAIMN,Washington County Jail,MN,Federal,101,197,"Stillwater, MN"
WASHCUT,Washington County Jail,UT,Federal,0,210,"Hurricane, UT"
WASCONY,Washington County Jail,NY,Federal,0,84,"Fort Edward, NY"
WASHOLD,Washington Field Office,VA,Hold / Staging,0,210,"Fairfax, VA"
WASHONV,Washoe County Jail,NV,Federal,0,210,"Reno, NV"
WASHTMI,"Washtenaw Co, An Arbor,MI",MI,Family / Youth,0,92,"Ann Arbor, MI"
WRMEDWI,Watertown Regional Medical Center,WI,Medical,185,186,"Watertown, WI"
WAUKEWI,Waukesha County Jail,WI,Federal,132,210,"Waukesha, WI"
WAYNENY,Wayne County Jail,NY,Federal,0,102,"Lyons, NY"
WAYNEMI,"Wayne County, Detroit",MI,Non-dedicated,0,15,"Detroit, MI"
WEBDCTX,Webb County Detention Center (CCA),TX,Dedicated,97,210,"Laredo, TX"
WEBCOTX,Webb County Jail,TX,Non-dedicated,202,203,"Laredo, TX"
WEBERUT,Weber County Jail,UT,Federal,0,210,"Ogden, UT"
WNTHOLD,Wenatchee Hold Room,WA,Hold / Staging,153,209,"Yakima, WA"
WWDHDNH,Wentworth Douglas Hospital,NH,Medical,176,204,"Dover, NH"
WBATOLA,West Baton Rouge Det Ctr,LA,Non-dedicated,0,8,"Port Allen, LA"
WKBHMFL,West Kendall Baptist Hosp,FL,Medical,121,204,"Miami, FL"
WMDBHFL,West Miami Dade Bapt Health Emerg,FL,Medical,164,204,"Miami, FL"
WOAKSTX,West Oaks Hospital,TX,Medical,0,65,"Houston, TX"
WTXDFTX,West Texas Detention Facility,TX,Federal,8,158,"Sierra Blanca, TX"
CAWVALL,West Valley,CA,Other / Unknown,37,49,"Rancho Cucamonga, CA"
WSTMCCA,Western Medical Center,CA,Medical,3,81,"Santa Ana, CA"
WVWESTR,Western Regional Jail,WV,Non-dedicated,207,210,"Barboursville, WV"
TNWESDF,Western Tennessee Det. Fac.,TN,Federal,0,210,"Mason, TN"
WTREGVA,Western Tidewater Reg. Jail,VA,Federal,27,132,"Suffolk, VA"
WVIRGVA,Western Virginia Regional Jail,VA,Federal,164,210,"Salem, VA"
WESHOLD,Westminster Custody,CA,Hold / Staging,6,206,"Westminster, CA"
WMLNDPA,Westmoreland County Jail,PA,Non-dedicated,0,208,"Greensburg, PA"
WMHOSCA,White Memorial Hospital,CA,Medical,0,204,"Los Angeles, CA"
WHITFGA,Whitfield County Jail,GA,Non-dedicated,23,186,"Dalton, GA"
WICHOLD,Wichita Holdroom,KS,Hold / Staging,24,209,"Wichita, KS"
AKWILPT,Wildwood Pre-Trial Fac.,AK,Non-dedicated,3,158,"Kenai, AK"
AKWILCC,Wildwood State Corr. Ctr.,AK,Non-dedicated,70,71,"Kenai, AK"
WCRDFTX,Willacy Co  Regional Detn Facil,TX,Federal,69,166,"Raymondville, TX"
WILLCTX,Willacy County Detention Center,TX,Dedicated,0,35,"Raymondville, TX"
WILLITX,Williamson County Jail,TX,Non-dedicated,0,1,"Georgetown, TX"
WILLITN,Williamson County Jail,TN,Non-dedicated,0,5,"Franklin, TN"
WPOHOLD,Williamsport Hold Room,PA,Hold / Staging,191,210,"Williamsport, PA"
WILSOTX,Wilson County Jail,TX,Non-dedicated,200,207,"Floresville, TX"
WINWYAZ,Wingate Wyndham Casa Esperanza,AZ,Family / Youth,152,159,"Yuma, AZ"
WINCOTX,Winkler County Jail,TX,Non-dedicated,58,106,"Kermit, TX"
LAWINCI,Winn Corr Institute,LA,Dedicated,127,210,"Winnfield, LA"
WOODBIA,Woodbury County Jail,IA,Non-dedicated,152,210,"Sioux City, IA"
WOODFKY,Woodford County Sheriff/Jail,KY,Non-dedicated,204,209,"Versailles, KY"
WORCEMD,Worcester Co. Jail,MD,Non-dedicated,0,207,"Snow Hill, MD"
WYATTRI,Wyatt Detention Center,RI,Federal,0,210,"Central Falls, RI"
WYMCONY,Wyoming County Jail,NY,Non-dedicated,132,133,"Warsaw, NY"
YIKIMWA,Yakima County,WA,Federal,0,129,"Yakima, WA"
YAKHOLD,Yakima Sub-Office,WA,Hold / Staging,20,210,"Yakima, WA"
YANCOSD,Yankton Co. Jail SD,SD,Federal,100,167,"Yankton, SD"
YATESNY,Yates County Jail,NY,Non-dedicated,6,69,"Penn Yan, NY"
YAVCVAZ,Yavapai County Detention Center,AZ,Non-dedicated,0,111,"Camp Verde, AZ"
YAVAPAZ,Yavapai County Jail,AZ,Non-dedicated,0,93,"Prescott, AZ"
YELLOMT,Yellowstone County Jail,MT,Federal,0,185,"Billings, MT"
CTYORCI,York Corr Inst,CT,Non-dedicated,1,10,"Niantic, CT"
YORCOSC,York County Detention Center,SC,Federal,0,203,"York, SC"
YORKCME,York County Jail,ME,Non-dedicated,14,143,"Alfred, ME"
YORCOPA,"York County Jail, PA",PA,Non-dedicated,0,205,"York, PA"
YRKHOLD,York Hold Room,PA,Hold / Staging,146,210,"York, PA"
YUBAJCA,Yuba County Jail,CA,Non-dedicated,0,172,"Marysville, CA"
YUMHOLD,Yuma Holdroom,AZ,Hold / Staging,0,210,"Yuma, AZ"
YRMDCAZ,Yuma Regional Med Ctr,AZ,Medical,188,200,"Yuma, AZ"
ZAVCOTX,Zavala County Jail,TX,Non-dedicated,13,192,"Crystal City, TX"
